html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,Haibo_label,Zhuolin_label,Zhuolin_confused,final_label,symptom category,author patch,input program,final label1,input property,refactoring type,check cross validate,bug reproducible in other ides,might need to remove,duplicate? (bug report id),note 2024.6.3,procedure,new root cause,original root cause,user patch,detailed symtom,scenario,stage,initialize,check initial,collect info,check final,create change,confused,check,fix strategy,duplicate?,conflict,notes,possible y,bugs without symptom,note,input program online
https://bugs.eclipse.org/bugs/show_bug.cgi?id=572935,572935,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #76/153] [cleanup & saveaction] short primitive rather than wrapper,2021/5/17,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573099,573099,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #78/153] [cleanup & saveaction] double primitive rather than wrapper,2021/5/17,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573229,573229,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #80/153] [cleanup & saveaction] float primitive rather than wrapper,2021/5/17,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573273,573273,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #81/153] [cleanup & saveaction] char primitive rather than wrapper,2021/5/17,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573300,573300,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #82/153] [cleanup & saveaction] byte primitive rather than wrapper,2021/5/17,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=572639,572639,P3,JDT,UI,kalyan_prasad,VERI,FIXE,The import XYZ cannot be resolved after Refactor ->Move to a new file.,2021/5/17,,,,y,compile error,1,1,y,record,Move member type to new File,1,1,,,,1,ast rewrite issue,ast transformation issue,,The import XYZ cannot be resolved,,Create Change,,,,1,,,1,,,,,1,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=572790,572790,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #74/153] [cleanup & saveaction] One if rather than duplicate blocks that fall through,2021/5/17,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=572851,572851,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #75/153] [cleanup & saveaction] Redundant truth,2021/5/17,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573358,573358,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #83/153] [cleanup & saveaction] Pull out a duplicate 'if' from an if/else,2021/5/16,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=546819,546819,P3,JDT,UI,jjohnstn,VERI,FIXE,Refactor method with varargs might remove the varargs parameter,2021/5/4,,,,y,compile error,1,1,y,varargs,change method signature,1,0,1,,quick fix,1,Incorrect Type Resolving,insufficent information for transformation,,unexpected result,,Create Change,,,,,,1,1,,,,,1,0,,
