title,url,priority,type,state,subsystem,affected version,included in builds,avaliable in,latest affected,created date,refactoring_haibo,refactoring_zhuolin,final label,input program,final label1,input property,symptoms,refactoring type,commit_html_url,new root cause,new root cause zl,stage,stage zl,"disagree (root cause, stage)",checked,cross checked,reproducebale,might need to remove,oracle,notes,initialize refactoring,propocess/ precondition,,perform change,confused,note
"""Extract method"" generates uncompilable (red) code in some cases in presence of varargs",https://youtrack.jetbrains.com/issue/IDEA-29936/Extract-method-generates-uncompilable-red-code-in-some-cases-in-presence-of-varargs,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
Make Static... incorrectly treats recursive call with explicit this qualifier,https://youtrack.jetbrains.com/issue/IDEA-29963/Make-Static...-incorrectly-treats-recursive-call-with-explicit-this-qualifier,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
Use Interface where Possible... refactoring ignores type-restricting assignments of variables of converted type,https://youtrack.jetbrains.com/issue/IDEA-29965/Use-Interface-where-Possible...-refactoring-ignores-type-restricting-assignments-of-variables-of-converted-type,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
"""New package"" dialog invoked from ""Choose destination directory"" dialog accepts invalid values",https://youtrack.jetbrains.com/issue/IDEA-29962/New-package-dialog-invoked-from-Choose-destination-directory-dialog-accepts-invalid-values,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Moving CSS files does not update references,https://youtrack.jetbrains.com/issue/IDEA-29988/Moving-CSS-files-does-not-update-references,Critical,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
Incorrect validation message from Introduce Constant,https://youtrack.jetbrains.com/issue/IDEA-30016/Incorrect-validation-message-from-Introduce-Constant,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
"""Introduce variable"" failes with single line else followed by a comment",https://youtrack.jetbrains.com/issue/IDEA-30033/Introduce-variable-failes-with-single-line-else-followed-by-a-comment,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Make method static' stuffs up creation expressions of this class,https://youtrack.jetbrains.com/issue/IDEA-30146/Make-method-static-stuffs-up-creation-expressions-of-this-class,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
Refactoring usage view does not have 'Rerun' button,https://youtrack.jetbrains.com/issue/IDEA-30254/Refactoring-usage-view-does-not-have-Rerun-button,Critical,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
Move Method fails wrt updating callers to pass in 'this',https://youtrack.jetbrains.com/issue/IDEA-30277/Move-Method-fails-wrt-updating-callers-to-pass-in-this,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Collect Info,,,,,,,,,,,,,,
