html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,commit_html_url,is_duplicated,is_refactoring_haibo,is_refactoring_zhuolin,conflict,has_input_program,has_patch,final,refactoring type,cross checked,reproducebale,might need to remove,symptom category,symptom sub category,input property,root cause,stage,
https://bz.apache.org/netbeans/show_bug.cgi?id=249499,249499,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.SafeDeleteRefactoringPlugin$3.run,2015/1/7,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=247707,247707,P3,java,Refactor,ralphbenjamin,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.PullUpPanel$TableModel.isCellEditable,2014/11/11,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=247593,247593,P3,java,Refactor,ralphbenjamin,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.MoveClassTransformer.getPackageOf,2014/11/11,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=247462,247462,P3,java,Refactor,ralphbenjamin,VERI,FIXE,Generic type information lost when using Refactor => Move for a Java method,2014/11/11,,0,1,1,0,1,0,1,move method,1,1,,compile error,redundant change,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=243374,243374,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Java Refactoring threw NullPointerException,2014/10/20,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=98166,98166,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Push Down Field] Refactoring does not replace field reference,2014/9/13,,0,1,1,0,1,0,1,Push Down Field,,,,compile error,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=242219,242219,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.EncapsulateFieldUI.create,2014/7/30,,0,1,1,0,1,0,1,Encapsulate Filed,,,,exception,NPE,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=245846,245846,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.SafeDeleteRefactoringPlugin$3.run,2014/7/30,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=241866,241866,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.ChangeParamsTransformer.isMethodMatch,2014/7/30,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=243067,243067,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactoring pop-up never goes away on a file delete operation from project explorer.,2014/7/17,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=244654,244654,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.PullUpTransformer.removeMembersFromSource,2014/7/17,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=245211,245211,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactoring does not add @return in javadoc,2014/7/10,,0,1,1,0,0,0,1,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=230348,230348,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Inline variable] After refactoring the editor lost the focus,2014/4/5,,0,0,0,0,1,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=241309,241309,P2,java,Refactor,ralphbenjamin,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.SafeDeleteRefactoringPlugin.getJavaSource,2014/2/5,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=241223,241223,P2,java,Refactor,ralphbenjamin,RESO,FIXE,java.util.MissingResourceException: No such bundle org.netbeans.modules.refactoring.spi.Bundle,2014/2/2,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=241074,241074,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.InnerToOuterRefactoringUI.create,2014/2/1,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=235564,235564,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Rename refactor can break code when new name shadows existing name,2014/1/9,,0,1,1,0,1,0,1,Rename variable,,,,behavior change,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=239300,239300,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Module Java Refactoring threw java.lang.IndexOutOfBoundsException,2014/1/9,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=239213,239213,P2,java,Refactor,ralphbenjamin,RESO,FIXE,Parsing Error after Refactor Copy,2013/12/12,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=238761,238761,P1,java,Refactor,ralphbenjamin,VERI,FIXE,Failing JavaRefactoringActionsProviderTest,2013/12/2,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=235736,235736,P2,java,Refactor,ralphbenjamin,RESO,FIXE,Opening help does not work correctly in refactoring dialog,2013/9/27,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=233782,233782,P3,java,Refactor,ralphbenjamin,VERI,FIXE,[Refactoring>Inline] causes exception,2013/9/17,,0,1,1,0,1,0,1,inline method,1,0,1,exception,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=228027,228027,P3,java,Refactor,ralphbenjamin,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.ChangeParametersPanel$1.run,2013/8/30,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=225857,225857,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.InlineRefactoringPlugin.preCheck,2013/7/25,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=232110,232110,P2,java,Refactor,ralphbenjamin,VERI,FIXE,"[Move member refactoring] moving members doesn't move imports too, which results in uncompilable code",2013/7/23,,0,1,1,0,1,0,1,move method,1,1,,compile error,incomplete refactoring,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=232348,232348,P3,java,Refactor,ralphbenjamin,VERI,FIXE,[Copy Class] Newly created files are shown incorrectly in tree of refactoring preview,2013/7/23,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=232677,232677,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.EncapsulateFieldRefactoringPlugin$Encapsulator.getPropertyChangeSupport,2013/7/22,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=233082,233082,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[inline] Inline refactoring produces invalid code for nested method call,2013/7/22,,0,1,1,0,1,0,1,inline method,1,1,,behavior change,,nested method call,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=231631,231631,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[inline] Refactoring produces wrong code it assigning to method parameter,2013/7/20,,0,1,1,0,1,0,1,inline method,1,1,,behavior change,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=232083,232083,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[74cat] Pull Down refactoring generates uncompilable code,2013/7/12,,0,1,1,0,0,0,1,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=231638,231638,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Replace constructor with builder] Refactoring produces non-compilable code when original constructor is private,2013/7/4,,0,1,1,0,1,0,1,Replace constructor with builder,,,,compile error,,private constructor,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=195228,195228,P4,java,Refactor,jbecicka,CLOS,FIXE,Refactoring preview has too dark background color in main panel,2013/6/27,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=230939,230939,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[dark] list of errors while refactoring is barely readable,2013/6/22,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=230930,230930,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[pull up] Refactoring allows to move static method into the interface,2013/6/11,,0,1,1,0,1,0,1,pull up method,1,1,,compile error,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=216870,216870,P3,java,Refactor,ralphbenjamin,RESO,FIXE,"Refactoring packages to use different case results in ""package already exists"" in refactor dialog",2013/6/5,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=219404,219404,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.EncapsulateFieldRefactoringPlugin.getRelevantFiles,2013/6/5,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=230293,230293,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.scope.CurrentPackageScopeProvider.initialize,2013/5/28,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=165579,165579,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactoring of loop labels doesn't work,2013/5/22,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=226517,226517,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Missing progress when invoking Refactoring,2013/5/22,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=227886,227886,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.tree.ElementGripFactory.getParent,2013/5/22,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=190443,190443,P3,java,Refactor,jbecicka,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.RenameRefactoringUI.getHelpCtx,2013/5/21,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=222334,222334,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactor -> extract interface missing check-all box,2013/5/15,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=227175,227175,P2,java,Refactor,ralphbenjamin,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.RenameRefactoringUI.getPanel,2013/5/5,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=163918,163918,P3,java,Refactor,dstrupl,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.RefactoringActionsProvider$11.createRefactoringUI,2013/4/23,,0,1,1,0,1,0,1,move parameter,,,,exception,NPE,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=207179,207179,P2,java,Refactor,ralphbenjamin,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.RefactoringUtils.findEnclosingClass,2013/4/23,,0,1,1,0,1,0,1,move method,1,0,1,exception,NPE,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=226493,226493,P2,java,Refactor,ralphbenjamin,VERI,FIXE,Inline Refactoring - Fails,2013/3/20,,0,1,1,0,1,0,1,inline method,1,1,,exception,NPE,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=218766,218766,P1,java,Refactor,ralphbenjamin,VERI,FIXE,ClassCastException: org.netbeans.modules.refactoring.api.RenameRefactoring cannot be cast to org.netbeans.modules.refactoring.api.MoveRefactoring,2013/1/11,,1,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=100758,100758,P1,java,Refactor,jbecicka,VERI,FIXE,[65cat] Implement beans refactoring (and improve encapsulate fields),2013/1/11,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=197189,197189,P3,java,Refactor,jbecicka,RESO,FIXE,Implement Introdoce Method Parameters Refactoring,2013/1/10,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=223698,223698,P2,java,Refactor,ralphbenjamin,RESO,FIXE,Cannot refactor copy Java Sources to another package,2012/12/21,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=223774,223774,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.MoveClassTransformer.isElementMoving,2012/12/21,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=223340,223340,P2,java,Refactor,ralphbenjamin,RESO,FIXE,"Refactoring: ""Introduce Local Extension"" creates non-compileable code for abstract classes",2012/12/11,,0,1,1,0,1,0,1,Introduce Local Extension,,,,compile error,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=222301,222301,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Replace constructor with builder] Refactoring cannot be used in enums and abstract classes,2012/11/21,,0,1,1,0,1,0,1,Replace constructor with builder,,,,compile error,,"enum, abstract class",,,
https://bz.apache.org/netbeans/show_bug.cgi?id=222403,222403,P3,java,Refactor,ralphbenjamin,RESO,FIXE,"""Move members"" refactoring generates wrong constructor for anonymous classes",2012/11/21,,0,1,1,0,1,0,1,move method,1,1,,compile error,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=220727,220727,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.UseSuperTypeRefactoringPlugin$ReferencesVisitor.visitTypeCast,2012/11/15,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=219716,219716,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.RefactoringUtils.variableClashes,2012/11/15,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=221949,221949,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Replace constructor with factory] No warning when refactoring enum constructor,2012/11/15,,0,1,1,0,1,0,1,Replace constructor with factory,,,,compile error,,enum,,,
