html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,has_input_program,has_patch,refactoring type,symptom,sub symptom,input property
https://bz.apache.org/netbeans/show_bug.cgi?id=249299,249299,P3,java,Refactor,ralphbenjamin,RESO,FIXE,JavaDoc comments for enum values are lost during Refactor -> Move Inner to Outer level,2015/1/28,1,0,Move Inner to Outer level,comment related,comment related,comment related
https://bz.apache.org/netbeans/show_bug.cgi?id=247462,247462,P3,java,Refactor,ralphbenjamin,VERI,FIXE,Generic type information lost when using Refactor => Move for a Java method,2014/11/11,1,0,move method,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=98166,98166,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Push Down Field] Refactoring does not replace field reference,2014/9/13,1,0,Push Down Field,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=242219,242219,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.EncapsulateFieldUI.create,2014/7/30,1,0,Encapsulate Filed,crash,exception,
https://bz.apache.org/netbeans/show_bug.cgi?id=235564,235564,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Rename refactor can break code when new name shadows existing name,2014/1/9,1,0,Rename variable,behavior change,behavior change,
https://bz.apache.org/netbeans/show_bug.cgi?id=233782,233782,P3,java,Refactor,ralphbenjamin,VERI,FIXE,[Refactoring>Inline] causes exception,2013/9/17,1,0,inline method,crash,exception,
https://bz.apache.org/netbeans/show_bug.cgi?id=232110,232110,P2,java,Refactor,ralphbenjamin,VERI,FIXE,"[Move member refactoring] moving members doesn't move imports too, which results in uncompilable code",2013/7/23,1,0,move method,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=233082,233082,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[inline] Inline refactoring produces invalid code for nested method call,2013/7/22,1,0,inline method,behavior change,behavior change,nested method call
https://bz.apache.org/netbeans/show_bug.cgi?id=231631,231631,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[inline] Refactoring produces wrong code it assigning to method parameter,2013/7/20,1,0,inline method,behavior change,behavior change,
https://bz.apache.org/netbeans/show_bug.cgi?id=231638,231638,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Replace constructor with builder] Refactoring produces non-compilable code when original constructor is private,2013/7/4,1,0,Replace constructor with builder,compile error,compile error,private constructor
https://bz.apache.org/netbeans/show_bug.cgi?id=230930,230930,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[pull up] Refactoring allows to move static method into the interface,2013/6/11,1,0,pull up method,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=163918,163918,P3,java,Refactor,dstrupl,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.RefactoringActionsProvider$11.createRefactoringUI,2013/4/23,1,0,move parameter,crash,exception,
https://bz.apache.org/netbeans/show_bug.cgi?id=207179,207179,P2,java,Refactor,ralphbenjamin,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.RefactoringUtils.findEnclosingClass,2013/4/23,1,0,move method,crash,exception,
