html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,symptom category,author patch,input program,input property,refactoring type,root cause
https://bugs.eclipse.org/bugs/show_bug.cgi?id=352785,352785,P3,JDT,UI,markus.kell.r,RESO,FIXE,[extract method] Refactor > Extract Method with break statement in switch causes NPE,2012/4/16,exception,1,1,switch case,extract method,overly weak preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=366281,366281,P3,JDT,UI,deepakazad,RESO,FIXE,[refactoring] [extract method] Extract Method refactoring fails if trailing ';' is not selected,2012/1/21,not available,1,1,-,extract method,selection parsing issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=125326,125326,P3,JDT,UI,deepakazad,RESO,FIXE,[pull up] of abstract methods to abstract base class fails [refactoring],2011/11/15,exception,1,1,-,pull up method,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=295200,295200,P3,JDT,UI,raksha.vasisht,VERI,FIXE,[inline] Inline local variable refactoring deletes comment right before the variable declaration,2011/4/26,comment related,1,1,comment related,inline local variable,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=342074,342074,P3,JDT,UI,markus.kell.r,RESO,FIXE,[move method] Refactor->Move an instance method to another causes IAE in SimpleName.setIdentifier,2011/4/7,exception,1,1,-,move method,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=328554,328554,P3,JDT,UI,markus.kell.r,RESO,FIXE,[move method] NPE during move method refactoring,2010/11/29,exception,1,1,-,move method,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=330415,330415,P3,JDT,UI,deepakazad,RESO,FIXE,[inline] Refactor > Inline fails to parenthesize replaced arguments,2010/11/17,behavior change,1,1,arithmetic expression,inline expression,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=314407,314407,P3,JDT,UI,deepakazad,VERI,FIXE,[inline] IndexOutOfBoundsException in inline method refactoring with compile error,2010/9/14,exception,1,1,,inline method,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=305103,305103,P3,JDT,UI,raksha.vasisht,VERI,FIXE,[refactoring] Comment deleted on 'Move type to new file' refactoring,2010/8/3,comment related,1,1,comment related,Move member type to new file,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=29391,29391,P3,JDT,UI,jdt-ui-inbox,RESO,FIXE,[move member type] does not handle visibility of constants [refactoring],2010/7/8,compile error,0,1,,pull up field,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=289655,289655,P3,JDT,UI,markus.kell.r,RESO,FIXE,[rename] Refactor rename in editor is slow with many matches,2010/6/30,bad performance,0,1,,rename variable,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=303617,303617,P3,JDT,UI,raksha.vasisht,RESO,FIXE,[extract constant] Refactoring not available on pop-up if selected string is an annotation,2010/6/18,not available,1,1,annotation,extract constant,selection parsing issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=310867,310867,P2,JDT,Debug,Michael_Rennie,VERI,FIXE,refactoring a member of a class refactors all watchpoints in that class,2010/5/3,breakpoint,1,1,,rename field,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=308147,308147,P3,JDT,Text,jdt-text-inbox,VERI,FIXE,[BiDi] DBCS3.6: Fail to open rename refactoring popup when renaming Ext-B variants (surrogates),2010/4/30,not available,0,1,,rename variable,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=307758,307758,P3,JDT,UI,deepakazad,VERI,FIXE,[extract local] Unable to refactor expression without resolved type in variable initializer,2010/4/26,exception,1,1,,extract constant,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=88396,88396,P3,JDT,UI,tobias_widmer,VERI,FIXE,[5.0] [refactoring] [move] Move member type refactoring does not update static import,2010/3/9,compile error,0,1,enum,move member type to new file,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=286221,286221,P3,JDT,UI,markus.kell.r,RESO,FIXE,[move method] Move refactoring can produce duplicate methods [refactoring],2009/8/17,compile error,0,1,,move method,incorrect implementation
https://bugs.eclipse.org/bugs/show_bug.cgi?id=280518,280518,P3,JDT,Debug,Michael_Rennie,VERI,FIXE,[breakpoints] [refactoring] method breakpoints all change to one method,2009/6/29,breakpoint,1,1,,rename method,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=20017,20017,P4,JDT,UI,dirk_baeumer,RESO,FIXE,"Self Encapsulate does not work correctly when ""this.field = value"" is used before refactoring [refactoring]",2009/5/4,compile error,0,1,,Self Encapsulate field,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=243101,243101,P3,JDT,UI,markus.kell.r,VERI,FIXE,[extract local] IllegalArgumentException in ExtractTempRefactoring,2008/12/9,exception,1,1,enum,extract variable,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=74759,74759,P3,JDT,UI,markus.kell.r,VERI,FIXE,[introduce factory] refactoring doesn't work with nested constructors,2008/10/28,compile error,0,1,nested constructor,introduce factory,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=251572,251572,P3,JDT,UI,daniel_megert,RESO,FIXE,[encapsulate field] encapsulate field refactoring fails with splitted array type,2008/10/22,exception,0,1,,encapsulate field,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=102020,102020,P3,JDT,UI,martinae,VERI,FIXE,[move member type] adds call to uncreated field [refactoring],2008/5/23,compile error,1,1,inner class,Move Member Type to New File,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=209937,209937,P3,JDT,UI,martinae,VERI,FIXE,[push down] NPE in push down refactoring operation,2008/5/20,exception,1,1,,push down method,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=136911,136911,P3,JDT,UI,martinae,RESO,FIXE,[convert local] fails in switch statement [refactoring],2007/11/7,exception,1,1,switch case,convert local variable,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=149775,149775,P2,JDT,UI,tobias_widmer,VERI,FIXE,[extract superclass] extract superclass refactor can cause stack overflow in refactored code,2007/5/2,compile error,0,1,super constructor,extract superclass,incorrect implementation
